xa|2004|Anthony Tomasic et al|Learning to Navigate Web Forms|Workshop on Information Integration on the Web (IIWeb-2004)|postscript/iiweb-2004.pdf|pdf
sx|2004|Sunita Sarawagi & William W. Cohen|Semi-Markov Conditional Random Fields for Information Extraction|Neural Information Processing Systems (NIPS-2004)|postscript/semiCRF.pdf|pdf
sxat|2004|William W. Cohen, Einat Minkov & Anthony Tomasic|Learning to Understad Web Site Update Requests|submitted for publication|postscript/webmaster.pdf|pdf
sat|2004|William W. Cohen, Vitor R. Carvalho & Tom Mitchell|Learning to Classify Email into "Speech  Acts"|EMNLP-2004 (to appear)|postscript/speech-acts.pdf|pdf
sxa|2004|Vitor R. Carvalho & William W. Cohen|Learning to Extract Signature and Reply Lines from Email|Conference on Email and Anti-Spam 2004 (to appear)|postscript/email-2004.pdf|pdf
sa|2004|Yifen Huang, Dinesh Govindaraju, Tom Mitchell, Vitor Rocha de Carvalho & William Cohen|Inferring Ongoing Activities of Workstation Users by Clustering Email|Conference on Email and Anti-Spam 2004 (to appear)|postscript/ceas-2004.pdf|pdf
sm|2004|Pradeep Ravikumar & William W. Cohen|A Hierarchical Graphical Model for Record Linkage|UAI-2004 (to appear)|postscript/uai-2004.pdf|pdf
smx|2004|William W. Cohen & Sunita Sarawagi|Exploiting Dictionaries in Named Entity Extraction: Combining Semi-Markov Extraction Processes and Data Integration Methods|KDD-2004 (to appear)|postscript/kdd-04-csmm.pdf|pdf
xgs|2003|William W. Cohen|Learning and Discovering Structure in Web Pages|IEEE Data Eng. Bull. 26(3): 3-10 (2003)|postscript/deb-2003.pdf|pdf
sm|2003|Mikael Bilenko, Ray Mooney, William Cohen, Pradeep Ravikumar & Steve Fienberg|Adaptive Name-Matching in Information Integration|IEEE Intelligent Systems|postscript/intelligent-systems-2003.pdf|pdf
sax|2003|William Cohen, Zhenzhen Kou & Robert F. Murphy|Extracting Information from Text and Images for Location Proteomics|BioKDD 2003|postscript/kdd-2003-bio-ws.doc|word
sm|2003|William Cohen, Pradeep Ravikumar & Stephen Fienberg|A Comparison of String Metrics for Matching Names and Records|KDD-2003 Workshop on Data Cleaning and Object Consolidation|postscript/kdd-2003-match-ws.pdf|pdf
sm|2003|William Cohen, Pradeep Ravikumar & Stephen Fienberg|A Comparison of String Distance Metrics for Name-Matching Tasks|IIWeb Workshop 2003|postscript/ijcai-ws-2003.pdf|pdf
sxa|2003|William Cohen, Richard Wang & Robert Murphy|Understanding Captions in Biomedical Publications|KDD-2003|postscript/ismb-2003.pdf|pdf
sxa|2003|William Cohen|Infrastructure Components for Large-Scale Information Extraction Systems|IAAI-2003|postscript/iaai-2003.pdf|pdf
s|2003|Cheng Zhai, William Cohen & John Lafferty|Beyond Independent Topical Relevance: Methods and Evaluation Metrics for Subtopic Retrieval|SIGIR-2003|postscript/sigir-2003.pdf|pdf
tax|2002|William Cohen|Improving A Page Classifier with Anchor Extraction and Link Analysis|NIPS-2002|postscript/nips-2002.pdf|pdf
m|2002|William Cohen & Jacob Richman|Learning to Match and Cluster Large High-Dimensional Data Sets For Data Integration|KDD-2002|postscript/kdd-2002.pdf|pdf
frxa|2002|William Cohen, Matthew Hurst & Lee S. Jensen|A Flexible Learning System for Wrapping Tables and Lists in HTML Documents|WWW-2002|http://www2002.org/CDROM/refereed/355/index.html|html
sfrxa|2003|William Cohen, Matthew Hurst & Lee S. Jensen|A Flexible Learning System for Wrapping Tables and Lists in HTML Documents|"Web Document Analysis: Challenges and Opportunities", ed. Antonacopoulos & Hu; Word Scientific Publishing|postscript/ws-chap-2002.pdf|pdf
a|2001|Lee S. Jensen & William Cohen|Grouping Extracted Fields|Proceedings of the IJCAI-2001 Workshop on Adaptive Text Extraction and Mining|postscript/IJCAI_Workshop_-_Wrapster_Associations.htm|html
g|2001|Dallan Quass, Andrew McCallum & William Cohen|Unlocking the Information in Text|"The Future of Software", Winter 2000/2001|http://www.futureofsoftware.net/wc0010/wc0010.asp|html
cm|2001|Chumki Basu, Haym Hirsh, William Cohen & Craig Neville-Manning|Technical Paper Recommendation: A Study in Combining Multiple Information Sources|The Journal of Artificial Intelligence Research} v14, pp 231-252|http://www.cs.washington.edu/research/jair/abstracts/basu01a.html|html|
xg|2000|William Cohen, Andrew McCallum, Dallan Quass|Learning to Understand the Web|IEEE Data Engineering Bulletin, September 2000, v23, pp 17-24|http://www.research.microsoft.com/research/db/debull/A00sept/cohen.ps|ps
sfm|2000|William Cohen, David McAllester, and Henry Kautz|Hardening Soft Information Sources|KDD-2000|postscript/kdd-2000.ps|ps
ts|2000|William Cohen|Automatically extracting features for concept learning from the Web|ICML-2000|postscript/ml-2000.ps|ps
