Adam D. Lelkes	Google		2024
Adam Fisch	Google		2024
Alessandro Presta	Google		2023
Amir Globerson	Google		2024
Andrew O. Arnold	Google		2020
Avishai Zagoury	Google		2021
Bernd Bohnet	Google		2022
Bhuwan Dhingra	Google/Duke		2024
Bill Yuchen Lin	Google/USC		2020
Chitwan Saharia	Google		2023
Chung-Ching Chang	Google		2023
Chunhui Cai	Google		2020
Daniel Andor	Google		2022
Daniel Gillick	Google		2021
Danish Pruthi	Google/CMU		2022
Dara Bahri	Google		2022
Dipanjan Das	Google		2022
Donald Metzler	Google		2024
Einat Minkov	Google/Univ. Haifa		2021
Eva Schlinger	Google		2021
Fan Yang	CMU		2020
Fangyu Liu	Google		2023
Fei Sha	Google/USC		2023
Fernando Pereira	Google		2020
Graham Neubig	CMU		2023
Haitian Sun	Google/CMU		2024
Hannaneh Hajishirzi	Univ. Wash		2022
Harsh Mehta	Google		2022
Hexiang Hu	Google		2023
Idan Szpektor	Google		2021
Jacob Eisenstein	Google		2022
Jai Gupta	Google		2024
Jeremy R. Cole	Google		2023
Ji Ma	Google		2022
Jianmo Ni	Google		2022
John Wieting	Google		2023
Jonathan Berant	Google		2024
Jonathan H. Clark	Google		2023
Jonathan Herzig	Google		2022
Joshua Ainslie	Google		2024
Joshua Maynez	Google		2024
Julian Martin Eisenschlos	Google		2023
Kai Hui	Google		2022
Kathryn Rivard Mazaitis	CMU		2020
Kellie Webster	Google		2022
Kelvin C.K. Chan	Google		2023
Keshav Kolluru	Google		2021
Kihyuk Sohn	Google		2023
Kuzman Ganchev	Google		2022
Livio Baldini Soares	Google		2022
Luke Vilnis	Google		2024
Maharshi Gor	Google		2021
Manzil Zaheer	Google		2020
Martin Rezk	Google		2021
Matthew Siegler	Google		2020
Michael Collins	Google		2022
Michiel De Jong	Google		2023
Michiel de Jong	Google		2024
Ming-Wei Chan	Google		2023
Ming-Wei Chang	Google		2023
Mostafa Dehghani	Google		2022
Nataniel Ruiz	Google		2023
Nicholas FitzGerald	Google		2023
Nitish Gupta	Google		2023
Norman Sadeh	Google		2022
Partha Talukdar	Google		2021
Pat Verga	Google		2023
R. Alex Hofer	Google		2024
Roee Aharoni	Google		2022
Ruslan Salakhutdinov	CMU		2023
Santiago Ontañón	Google		2024
Siddhant Arora	CMU		2022
Slav Petrov	Google		2022
Sumit Sanghai	Google		2024
Tal Schuster	Google		2024
Tania Bedrax-Weiss	Google		2020
Taylor Berg-Kirkpatrick	UCSD		2023
Thomas Muller	Google		2021
Tom Kwiatkowski	Google		2022
Vidhisha Balachandran	CMU		2022
Vinh Q. Tran	Google		2022
Wenhu Chen	Google/Univ. Waterloo		2023
William Wang	UCSB		2021
Xi Chen	Google		2023
Xiang Ren	USC		2020
Xinghua Lu	U.Pitt		2020
Xinyi Wang	UCSB		2022
Xue Ben	Google		2023
Xueguang Ma	Google		2022
Xuhui Jia	Google		2023
Yandong Li	Google		2023
Yang Zhao	Google		2023
Yi Tay	Google		2022
Yifeng Tao	Google		2020
Yu-Chuan Su	Google		2023
Yulia Tsvetkov	Univ. Wash		2022
Yun-Hsuan Sung	Google		2023
Yury Zemlyanskiy	Google		2024
Zachary C. Lipton	CMU		2022
Zhe Zhao	Google		2022
Zhen Qin	Google		2022
